iter	Logloss
0	0.6744898516
1	0.6573563599
2	0.6422045213
3	0.6281754801
4	0.6175835741
5	0.6069090977
6	0.5978666836
7	0.5903601062
8	0.5838624037
9	0.5770846072
10	0.5694454546
11	0.5639490751
12	0.5588758901
13	0.5536736387
14	0.5489196203
15	0.54538539
16	0.5423067655
17	0.5389033904
18	0.5351081352
19	0.5316622762
20	0.5285692293
21	0.5256457388
22	0.5231520365
23	0.5188729293
24	0.5164434517
25	0.5134341288
26	0.5101920686
27	0.5078458845
28	0.5058614724
29	0.5038227455
30	0.5005070788
31	0.498287726
32	0.4958524669
33	0.4932523751
34	0.4922868965
35	0.4908561672
36	0.4891219238
37	0.4875798182
38	0.4865459953
39	0.4851809959
40	0.4834814299
41	0.4811435142
42	0.4788443897
43	0.4761836937
44	0.4747021166
45	0.4735035721
46	0.471688437
47	0.4704725658
48	0.4691334638
49	0.4680732623
50	0.4667082119
51	0.4658780106
52	0.463832796
53	0.4618559895
54	0.4608165625
55	0.4590945177
56	0.4576174584
57	0.4562083484
58	0.4547586816
59	0.4539889949
60	0.4526008998
61	0.4510486512
62	0.4498749954
63	0.448643527
64	0.4475293661
65	0.4456563588
66	0.444857281
67	0.4428709704
68	0.442065137
69	0.4401644583
70	0.4379278863
71	0.4369574976
72	0.4356409314
73	0.4343301384
74	0.4324125236
75	0.4306691717
76	0.4296828029
77	0.4291534465
78	0.4280031833
79	0.4264132547
80	0.4247052235
81	0.4237390655
82	0.4225898678
83	0.4218718959
84	0.4201597369
85	0.4194679121
86	0.4182351005
87	0.417071236
88	0.4158605877
89	0.4146455184
90	0.4138364505
91	0.4130768945
92	0.4113029522
93	0.409660905
94	0.408946135
95	0.4070329308
96	0.4050290074
97	0.4042514398
98	0.4036258874
99	0.4020904073
