iter	Passed	Remaining
0	1	1254
1	2	1170
2	3	1143
3	4	1120
4	5	1106
5	6	1098
6	7	1090
7	8	1084
8	9	1077
9	10	1073
10	11	1069
11	12	1066
12	14	1063
13	15	1059
14	16	1057
15	17	1056
16	18	1055
17	19	1054
18	20	1054
19	21	1053
20	22	1053
21	23	1053
22	24	1051
23	25	1051
24	26	1049
25	27	1048
26	29	1046
27	30	1045
28	31	1044
29	32	1043
30	33	1043
31	34	1043
32	35	1041
33	36	1040
34	37	1039
35	38	1038
36	39	1037
37	40	1036
38	41	1034
39	43	1033
40	44	1032
41	45	1032
42	46	1031
43	47	1030
44	48	1029
45	49	1028
46	50	1027
47	51	1027
48	52	1026
49	54	1026
50	55	1025
51	56	1024
52	57	1024
53	58	1023
54	59	1022
55	60	1022
56	61	1021
57	62	1020
58	63	1019
59	65	1019
60	66	1018
61	67	1018
62	68	1017
63	69	1017
64	70	1016
65	71	1015
66	72	1014
67	73	1013
68	75	1012
69	76	1012
70	77	1010
71	78	1009
72	79	1008
73	80	1009
74	81	1007
75	82	1006
76	83	1005
77	84	1004
78	86	1003
79	87	1002
80	88	1001
81	89	1000
82	90	999
83	91	998
84	92	996
85	93	995
86	94	995
87	96	995
88	97	995
89	98	994
90	99	993
91	100	992
92	101	991
93	102	990
94	103	989
95	104	988
96	106	987
97	107	986
98	108	984
99	109	983
100	110	983
101	111	982
102	112	981
103	113	980
104	114	979
105	116	978
106	117	977
107	118	976
108	119	975
109	120	974
110	121	973
111	122	971
112	123	970
113	124	969
114	125	968
115	126	967
116	128	966
117	129	964
118	130	963
119	131	962
120	132	961
121	133	961
122	134	960
123	135	959
124	136	958
125	137	957
126	139	955
127	140	954
128	141	953
129	142	952
130	143	951
131	144	950
132	145	949
133	146	948
134	147	947
135	149	946
136	150	945
137	151	944
138	152	943
139	153	942
140	154	940
141	155	939
142	156	938
143	157	937
144	158	936
145	159	934
146	160	933
147	162	935
148	163	935
149	164	934
150	166	934
151	167	933
152	168	932
153	170	934
154	171	934
155	172	933
156	173	932
157	174	931
158	176	930
159	177	931
160	178	931
161	179	930
162	180	929
163	182	928
164	183	926
165	184	925
166	185	924
167	186	923
168	187	921
169	188	920
170	189	919
171	190	917
172	191	916
173	192	915
174	193	914
175	195	913
176	196	911
177	197	910
178	198	909
179	199	908
180	200	906
181	201	905
182	202	904
183	203	903
184	204	902
185	205	900
186	207	900
187	208	899
188	209	898
189	210	897
190	211	895
191	212	894
192	213	893
193	214	892
194	215	891
195	216	890
196	218	888
197	219	887
198	220	886
199	221	885
200	222	883
201	223	882
202	224	881
203	225	879
204	226	878
205	227	877
206	228	876
207	229	875
208	230	874
209	232	872
210	233	871
211	234	870
212	235	869
213	236	867
214	237	866
215	238	865
216	239	864
217	240	863
218	241	861
219	242	861
220	244	860
221	245	859
222	246	858
223	247	857
224	248	855
225	249	854
226	250	853
227	251	852
228	252	851
229	253	850
230	254	848
231	256	847
232	257	846
233	258	845
234	259	844
235	260	843
236	261	841
237	262	840
238	263	839
239	264	838
240	265	837
241	266	835
242	267	834
243	269	833
244	270	832
245	271	831
246	272	830
247	273	829
248	274	828
249	275	827
250	276	826
251	277	825
252	279	823
253	279	821
254	280	820
255	281	818
256	282	817
257	283	816
258	285	815
259	286	814
260	287	813
261	288	812
262	289	811
263	290	810
264	291	809
265	292	807
266	293	806
267	294	805
268	296	804
269	297	803
270	298	802
271	299	801
272	300	800
273	301	798
274	302	798
275	303	797
276	305	796
277	306	794
278	307	793
279	308	792
280	309	791
281	310	790
282	311	789
283	312	788
284	313	787
285	314	786
286	315	784
287	317	783
288	318	782
289	319	781
290	320	780
291	321	779
292	322	778
293	323	777
294	324	776
295	325	775
296	327	774
297	328	772
298	329	771
299	330	770
300	331	769
301	332	768
302	333	767
303	334	766
304	335	765
305	337	764
306	338	763
307	339	762
308	340	761
309	341	760
310	342	759
311	343	758
312	344	756
313	345	755
314	347	754
315	348	753
316	349	752
317	350	751
318	351	750
319	352	749
320	353	748
321	354	747
322	355	745
323	357	744
324	358	743
325	359	742
326	360	741
327	361	740
328	362	739
329	363	737
330	364	736
331	365	735
332	366	734
333	367	733
334	369	732
335	370	731
336	371	730
337	372	729
338	373	728
339	374	727
340	375	726
341	376	725
342	378	724
