,nr_features,list_features,auc
0,21,"['P_tim_TYFCB', 'P_tim_retention', 'P_tim_popularity', 'P_tim_growth', 'RGO', 'P_by_A', '1-2-1', 'RRO', 'chapter_size', 'CEU', 'RGI', 'P2_tim_V', 'P2', 'P_by_S', 'RRI', 'P_by_M', 'year_of_membership', 'A', 'total_meetings', 'L', 'M']",0.6869517543859649
1,20,"[['P_tim_TYFCB', 'P_tim_retention', 'P_tim_popularity', 'P_tim_growth', 'RGO', 'P_by_A', '1-2-1', 'RRO', 'chapter_size', 'CEU', 'RGI', 'P2_tim_V', 'P2', 'P_by_S', 'RRI', 'P_by_M', 'year_of_membership', 'A', 'total_meetings', 'L']]",0.6851486354775828
2,19,"[['P_tim_TYFCB', 'P_tim_retention', 'P_tim_popularity', 'P_by_A', 'P_tim_growth', '1-2-1', 'RGO', 'RRO', 'CEU', 'chapter_size', 'P2_tim_V', 'RGI', 'P_by_S', 'P2', 'RRI', 'P_by_M', 'year_of_membership', 'A', 'total_meetings']]",0.6908625730994151
3,18,"[['P_tim_TYFCB', 'P_tim_retention', 'P_tim_popularity', 'P_by_A', 'RGO', 'P_tim_growth', '1-2-1', 'RRO', 'CEU', 'chapter_size', 'RGI', 'P2_tim_V', 'P2', 'P_by_S', 'RRI', 'P_by_M', 'year_of_membership', 'A']]",0.6855263157894737
4,17,"[['P_tim_TYFCB', 'P_tim_retention', 'P_tim_popularity', 'P_by_A', 'P_tim_growth', '1-2-1', 'RGO', 'RRO', 'CEU', 'RGI', 'chapter_size', 'P2_tim_V', 'P_by_S', 'RRI', 'P2', 'P_by_M', 'year_of_membership']]",0.6965155945419103
5,16,"[['P_tim_TYFCB', 'P_tim_popularity', 'P_tim_retention', 'P_by_A', 'P_tim_growth', '1-2-1', 'RGO', 'RRO', 'chapter_size', 'CEU', 'P2_tim_V', 'RGI', 'P2', 'RRI', 'P_by_S', 'P_by_M']]",0.7097831384015595
6,15,"[['P_tim_TYFCB', 'P_tim_retention', 'P_by_A', 'P_tim_popularity', 'RGO', '1-2-1', 'P_tim_growth', 'RRO', 'CEU', 'chapter_size', 'P2', 'RGI', 'P2_tim_V', 'P_by_S', 'RRI']]",0.6890229044834308
7,14,"[['P_tim_TYFCB', 'P_tim_retention', 'P_tim_popularity', 'P_by_A', 'RGO', 'P_tim_growth', '1-2-1', 'P2', 'P2_tim_V', 'RRO', 'chapter_size', 'CEU', 'P_by_S', 'RGI']]",0.6870857699805069
8,13,"[['P_tim_TYFCB', 'P_tim_retention', 'P_tim_popularity', 'P_by_A', 'P_tim_growth', '1-2-1', 'RRO', 'RGO', 'RGI', 'chapter_size', 'P2', 'CEU', 'P2_tim_V']]",0.6892543859649123
9,12,"[['P_tim_TYFCB', 'P_by_A', 'P_tim_popularity', 'P_tim_retention', 'P_tim_growth', 'RGO', '1-2-1', 'RRO', 'P2', 'P2_tim_V', 'CEU', 'chapter_size']]",0.6986598440545808
10,11,"[['P_tim_TYFCB', 'P_tim_retention', 'P_tim_popularity', 'P_by_A', '1-2-1', 'P_tim_growth', 'RGO', 'RRO', 'P2', 'chapter_size', 'CEU']]",0.7016812865497076
11,10,"[['P_tim_TYFCB', 'P_tim_retention', 'P_tim_popularity', 'P_by_A', '1-2-1', 'P_tim_growth', 'RGO', 'RRO', 'CEU', 'chapter_size']]",0.6909600389863547
12,9,"[['P_tim_TYFCB', 'P_by_A', 'P_tim_retention', 'P_tim_popularity', 'P_tim_growth', '1-2-1', 'RGO', 'RRO', 'chapter_size']]",0.7011574074074073
13,8,"[['P_tim_TYFCB', 'P_by_A', 'P_tim_retention', 'P_tim_popularity', 'P_tim_growth', 'RGO', '1-2-1', 'RRO']]",0.6924585769980507
14,7,"[['P_tim_TYFCB', 'P_tim_retention', 'P_by_A', 'P_tim_popularity', 'P_tim_growth', '1-2-1', 'RGO']]",0.684965886939571
15,6,"[['P_tim_TYFCB', 'P_by_A', 'P_tim_retention', 'P_tim_popularity', 'P_tim_growth', '1-2-1']]",0.655324074074074
16,5,"[['P_tim_TYFCB', 'P_tim_retention', 'P_by_A', 'P_tim_popularity', 'P_tim_growth']]",0.671588693957115
17,4,"[['P_tim_TYFCB', 'P_tim_retention', 'P_tim_popularity', 'P_tim_growth']]",0.5876705653021442
18,3,"[['P_tim_TYFCB', 'P_tim_retention', 'P_tim_growth']]",0.5929337231968812
