,feature_importance,feature_name
0,0.09656449316030769,P_tim_TYFCB
2,0.07866760952481298,P_tim_retention
3,0.07403414757294441,P_by_A
1,0.07249169726273166,P_tim_popularity
6,0.06576269150730553,RGO
5,0.06549251646245523,1-2-1
4,0.06342453164427968,P_tim_growth
7,0.06108455001482919,RRO
9,0.05950059375536781,CEU
8,0.05903136229322608,chapter_size
12,0.05645593679779278,P2
11,0.05513135355300641,RGI
10,0.054231627059426676,P2_tim_V
14,0.04904782646790757,P_by_S
13,0.048262209142224774,RRI
15,0.04081685378138152,P_by_M
