,feature_importance,feature_name
0,3.870408433058207,P2
13,2.0635511659090913,A
8,1.8195366858000002,M
9,1.5441759490280698,year_of_membership
7,1.5019955804077276,P_by_A
2,1.4834470164415452,P_tim_TYFCB
1,1.4750350212325705,RGO
16,1.3928918265238996,P_by_S
6,1.3566243129958626,chapter_size
4,1.3530149958499997,RGI
11,1.3261073784822615,P_tim_retention
15,1.3169408061959889,1-2-1
12,1.3125104206190474,L
3,1.309599661757253,P_tim_popularity
17,1.227776972309434,total_meetings
14,1.2016533815914119,RRO
10,1.1879996505865704,P2_tim_V
5,1.075026354123073,CEU
