,feature_importance,feature_name
1,0.0918384784608147,P_tim_TYFCB
3,0.08283911581820001,P2
0,0.08270062317768193,1-2-1
5,0.08027671023278786,P_tim_popularity
4,0.07476611090223866,RGI
7,0.07205774584561983,P_by_A
2,0.07158138205030859,RRO
6,0.06562720994027145,P_tim_growth
11,0.061885399624171285,RGO
9,0.05470668627799545,P_by_S
10,0.05100090602001349,CEU
8,0.049556365082648796,P_tim_retention
12,0.03956480050815664,chapter_size
13,0.03160721678347376,P2_tim_V
14,0.028828528146626432,RRI
15,0.025299801516545286,total_meetings
16,0.017442278050474283,year_of_membership
17,0.01085848153144974,L
18,0.007562160030521676,A
