,feature_importance,feature_name
18,8.740724052470595,P_tim_popularity
16,7.756356330068678,P_tim_retention
20,6.732620918380989,P_tim_TYFCB
4,6.41576522604077,RGI
8,6.40737916996111,1-2-1
0,5.765859486163593,chapter_ID
5,5.731009839400269,RGO
17,5.455310745743502,P_tim_growth
11,5.294395535560969,chapter_size
19,5.165826010156582,P2_tim_V
13,5.104961027032562,P_by_A
7,4.577401794380185,RRO
6,4.12498903890225,RRI
15,3.7125046627711,P_by_S
9,3.4465335849992234,CEU
10,3.050280318980076,year_of_membership
1,2.952622299480281,A
12,2.8255321534838576,total_meetings
21,2.808193008462486,P2
14,2.127774583364288,P_by_M
2,1.250487061575543,L
3,0.553473152621092,M
