,nr_features,list_features,auc
0,22,"['P_tim_popularity', 'P_tim_retention', 'P_tim_TYFCB', 'RGI', '1-2-1', 'chapter_ID', 'RGO', 'P_tim_growth', 'chapter_size', 'P2_tim_V', 'P_by_A', 'RRO', 'RRI', 'P_by_S', 'CEU', 'year_of_membership', 'A', 'total_meetings', 'P2', 'P_by_M', 'L', 'M']",0.7156920077972709
1,21,"[['P_tim_popularity', 'P_tim_retention', 'P_tim_TYFCB', 'RGI', '1-2-1', 'chapter_ID', 'RGO', 'P_tim_growth', 'chapter_size', 'P2_tim_V', 'P_by_A', 'RRO', 'RRI', 'P_by_S', 'CEU', 'year_of_membership', 'A', 'total_meetings', 'P2', 'P_by_M', 'L']]",0.7179337231968812
2,20,"[['P_tim_popularity', 'P_tim_retention', 'P_tim_TYFCB', '1-2-1', 'RGO', 'RGI', 'P_tim_growth', 'chapter_ID', 'P2_tim_V', 'chapter_size', 'P_by_A', 'RRI', 'RRO', 'P_by_S', 'CEU', 'year_of_membership', 'total_meetings', 'P2', 'A', 'P_by_M']]",0.6984649122807016
3,19,"[['P_tim_popularity', 'P_tim_retention', 'P_tim_TYFCB', '1-2-1', 'chapter_ID', 'RGI', 'RGO', 'P2_tim_V', 'P_tim_growth', 'chapter_size', 'RRO', 'P_by_A', 'RRI', 'CEU', 'P_by_S', 'A', 'total_meetings', 'year_of_membership', 'P2']]",0.7014132553606237
4,18,"[['P_tim_popularity', 'P_tim_retention', '1-2-1', 'P_tim_TYFCB', 'P_tim_growth', 'RGI', 'chapter_ID', 'RGO', 'chapter_size', 'P2_tim_V', 'P_by_A', 'RRO', 'RRI', 'P_by_S', 'CEU', 'total_meetings', 'P2', 'year_of_membership']]",0.7108430799220274
5,17,"[['P_tim_popularity', 'P_tim_retention', 'P_by_A', '1-2-1', 'P_tim_TYFCB', 'chapter_ID', 'RGI', 'RGO', 'P2_tim_V', 'chapter_size', 'P_tim_growth', 'RRO', 'RRI', 'CEU', 'P_by_S', 'P2', 'total_meetings']]",0.6938109161793372
6,16,"[['P_tim_popularity', 'P_tim_retention', 'P_tim_TYFCB', 'P_by_A', '1-2-1', 'chapter_ID', 'P2_tim_V', 'RGI', 'P_tim_growth', 'RGO', 'chapter_size', 'RRO', 'RRI', 'P_by_S', 'P2', 'CEU']]",0.6994639376218323
7,15,"[['P_tim_popularity', 'P_tim_retention', 'P_tim_TYFCB', '1-2-1', 'chapter_ID', 'P_by_A', 'RGO', 'P2_tim_V', 'RGI', 'P_tim_growth', 'chapter_size', 'RRO', 'RRI', 'CEU', 'P_by_S']]",0.706335282651072
8,14,"[['P_tim_popularity', 'P_by_A', 'P_tim_TYFCB', 'P_tim_retention', 'chapter_ID', '1-2-1', 'P2_tim_V', 'RGO', 'chapter_size', 'RGI', 'P_tim_growth', 'P_by_S', 'RRO', 'RRI']]",0.6985136452241714
9,13,"[['P_tim_popularity', 'P_tim_TYFCB', 'P_by_A', 'P_tim_retention', '1-2-1', 'chapter_ID', 'RGI', 'RGO', 'P2_tim_V', 'P_tim_growth', 'chapter_size', 'RRO', 'P_by_S']]",0.6980994152046783
10,12,"[['P_tim_popularity', 'P_tim_TYFCB', 'P_tim_retention', 'P_by_A', '1-2-1', 'chapter_ID', 'RGO', 'RGI', 'chapter_size', 'P_tim_growth', 'P2_tim_V', 'RRO']]",0.6916423001949319
11,11,"[['P_tim_popularity', 'P_by_A', 'P_tim_TYFCB', 'P_tim_retention', 'chapter_ID', '1-2-1', 'RGO', 'RGI', 'P2_tim_V', 'P_tim_growth', 'chapter_size']]",0.6763888888888888
12,10,"[['P_tim_popularity', 'P_tim_retention', 'P_by_A', 'P_tim_TYFCB', 'chapter_ID', '1-2-1', 'P2_tim_V', 'RGO', 'RGI', 'P_tim_growth']]",0.668421052631579
13,9,"[['P_tim_popularity', 'P_by_A', 'P_tim_retention', 'P_tim_TYFCB', 'chapter_ID', '1-2-1', 'P2_tim_V', 'RGO', 'RGI']]",0.6709307992202729
14,8,"[['P_tim_popularity', 'P_tim_retention', 'P_by_A', 'P_tim_TYFCB', 'chapter_ID', '1-2-1', 'P2_tim_V', 'RGO']]",0.6772417153996102
15,7,"[['P_tim_popularity', 'P_tim_retention', 'P_by_A', 'P_tim_TYFCB', 'chapter_ID', '1-2-1', 'RGO']]",0.6796296296296296
16,6,"[['P_tim_popularity', 'P_tim_retention', 'P_tim_TYFCB', 'P_by_A', '1-2-1', 'chapter_ID']]",0.6685672514619883
17,5,"[['P_tim_popularity', 'P_tim_TYFCB', 'P_tim_retention', 'P_by_A', '1-2-1']]",0.6681042884990254
18,4,"[['P_tim_retention', 'P_tim_popularity', 'P_tim_TYFCB', 'P_by_A']]",0.6679824561403509
19,3,"[['P_tim_popularity', 'P_tim_retention', 'P_tim_TYFCB']]",0.60682261208577
