,training_time [s],accuracy,precision,recall,f1,auc
logistic_regression,2.04,0.7084282460136674,1.0,0.05185185185185185,0.09859154929577466,0.7022660818713451
logistic_regression_platt,2.04,0.7266514806378133,0.5949367088607594,0.34814814814814815,0.43925233644859807,0.7026559454191034
logistic_regression_isotonic,2.04,0.7266514806378133,0.5882352941176471,0.37037037037037035,0.45454545454545453,0.7041666666666666
naive_bayes_platt,2.04,0.6924829157175398,0.0,0.0,0.0,0.6592105263157895
naive_bayes_isotonic,2.04,0.7220956719817767,0.6065573770491803,0.2740740740740741,0.37755102040816324,0.6651559454191034
knn,1.86,0.7015945330296127,0.5294117647058824,0.26666666666666666,0.354679802955665,0.660916179337232
knn_platt,1.86,0.7129840546697038,0.6,0.2,0.3,0.682943469785575
knn_isotonic,1.86,0.7038724373576309,0.5471698113207547,0.21481481481481482,0.30851063829787234,0.6831262183235866
decision_tree,4.33,0.7175398633257403,0.6170212765957447,0.21481481481481482,0.31868131868131866,0.6493664717348928
decision_tree_platt,4.33,0.7220956719817767,0.6065573770491803,0.2740740740740741,0.37755102040816324,0.6518396686159844
decision_tree_isotonic,4.33,0.7175398633257403,0.582089552238806,0.28888888888888886,0.3861386138613861,0.6525219298245614
random_forest,56.28,0.7220956719817767,0.5970149253731343,0.2962962962962963,0.396039603960396,0.6973684210526315
random_forest_platt,56.28,0.7357630979498861,0.6233766233766234,0.35555555555555557,0.45283018867924524,0.6990497076023394
random_forest_isotonic,56.28,0.7312072892938497,0.6268656716417911,0.3111111111111111,0.4158415841584158,0.7019371345029239
AdaBoost,4.78,0.7061503416856492,0.5340909090909091,0.34814814814814815,0.42152466367713004,0.6800682261208577
AdaBoost_platt,4.78,0.7015945330296127,0.5294117647058824,0.26666666666666666,0.354679802955665,0.6711257309941521
AdaBoost_isotonic,4.78,0.7038724373576309,0.5308641975308642,0.31851851851851853,0.3981481481481482,0.6728435672514619
XGBoost,303.25,0.7198177676537585,0.75,0.13333333333333333,0.22641509433962267,0.707285575048733
XGBoost_platt,303.25,0.7312072892938497,0.6075949367088608,0.35555555555555557,0.4485981308411215,0.7100633528265108
XGBoost_isotonic,303.25,0.7289293849658315,0.5930232558139535,0.37777777777777777,0.4615384615384615,0.7110867446393763
CatBoost,435.21,0.7038724373576309,0.5301204819277109,0.32592592592592595,0.4036697247706422,0.6358187134502924
CatBoost_platt,435.21,0.7061503416856492,0.5882352941176471,0.14814814814814814,0.2366863905325444,0.6698830409356725
CatBoost_isotonic,435.21,0.7107061503416856,0.6052631578947368,0.17037037037037037,0.2658959537572254,0.667495126705653
naive_bayes,0.0,0.43507972665148065,0.33134328358208953,0.8222222222222222,0.47234042553191485,0.6568713450292398
