,training_time [s],accuracy,precision,recall,f1,auc
strat1_logistic_regression,0.01,0.7357630979498861,0.6376811594202898,0.32592592592592595,0.43137254901960786,0.7010721247563352
strat1_naive_bayes,0.0,0.6697038724373576,0.46875,0.5555555555555556,0.5084745762711864,0.6860989278752436
strat1_knn,0.0,0.6287015945330297,0.36538461538461536,0.2814814814814815,0.3179916317991632,0.5905214424951267
strat1_decision_tree,0.01,0.6332574031890661,0.4015151515151515,0.3925925925925926,0.39700374531835203,0.5663620857699805
strat1_random_forest,0.24,0.715261958997722,0.5609756097560976,0.34074074074074073,0.423963133640553,0.6691885964912281
strat1_AdaBoost,0.1,0.7198177676537585,0.5666666666666667,0.37777777777777777,0.4533333333333333,0.6744883040935674
strat1_XGBoost,0.11,0.6879271070615034,0.49,0.362962962962963,0.4170212765957447,0.6780945419103315
strat1_CatBoost,1.54,0.7084282460136674,0.5421686746987951,0.3333333333333333,0.4128440366972476,0.68525828460039
strat2_logistic_regression,0.01,0.6492027334851936,0.4394904458598726,0.5111111111111111,0.47260273972602734,0.6553606237816764
strat2_naive_bayes,0.0,0.5353075170842825,0.37722419928825623,0.7851851851851852,0.5096153846153847,0.6900950292397661
strat2_knn,0.01,0.6195899772209568,0.4101123595505618,0.5407407407407407,0.46645367412140576,0.599865984405458
strat2_decision_tree,0.01,0.6104783599088838,0.39285714285714285,0.4888888888888889,0.43564356435643564,0.5766812865497076
strat2_random_forest,0.34,0.6674259681093394,0.45925925925925926,0.45925925925925926,0.45925925925925926,0.6615497076023391
strat2_AdaBoost,0.11,0.6469248291571754,0.44047619047619047,0.5481481481481482,0.4884488448844885,0.6773513645224171
strat2_XGBoost,0.13,0.6583143507972665,0.44525547445255476,0.45185185185185184,0.4485294117647059,0.6323586744639377
strat2_CatBoost,1.64,0.6742596810933941,0.47101449275362317,0.48148148148148145,0.47619047619047616,0.6562378167641325
strat3_logistic_regression,0.01,0.6788154897494305,0.47794117647058826,0.48148148148148145,0.4797047970479705,0.6794346978557505
strat3_naive_bayes,0.0,0.5558086560364465,0.38721804511278196,0.762962962962963,0.513715710723192,0.6898757309941519
strat3_knn,0.01,0.6104783599088838,0.3888888888888889,0.4666666666666667,0.42424242424242425,0.5902655945419104
strat3_decision_tree,0.01,0.5854214123006833,0.35403726708074534,0.4222222222222222,0.3851351351351352,0.5400584795321638
strat3_random_forest,0.26,0.6697038724373576,0.4583333333333333,0.4074074074074074,0.4313725490196078,0.6601364522417155
strat3_AdaBoost,0.1,0.6788154897494305,0.4785714285714286,0.4962962962962963,0.48727272727272725,0.6894371345029241
strat3_XGBoost,0.11,0.6583143507972665,0.44525547445255476,0.45185185185185184,0.4485294117647059,0.6430555555555555
strat3_CatBoost,1.5,0.6788154897494305,0.47619047619047616,0.4444444444444444,0.45977011494252873,0.6767300194931773
